Year,Day ,Hours,location-long,location-lat,location-lat,individual-taxon-canonical-name,individual-local-identifier
2018,2-Jul,0,0.426054,36.840366,Stigmochelys pardalis,4173,Ollie
2018,2-Jul,4,0.426086,36.84048,Stigmochelys pardalis,4173,Ollie
2018,2-Jul,8,0.426073,36.840442,Stigmochelys pardalis,4173,Ollie
2018,2-Jul,12,0.426123,36.840454,Stigmochelys pardalis,4173,Ollie
2018,2-Jul,16,0.426133,36.840415,Stigmochelys pardalis,4173,Ollie
2018,2-Jul,20,0.426058,36.840461,Stigmochelys pardalis,4173,Ollie
2018,2-Jul,23,0.42612,36.840427,Stigmochelys pardalis,4173,Ollie
2018,3-Jul,0,0.38528,36.898742,Stigmochelys pardalis,41711,Charlie
2018,3-Jul,4,0.385243,36.898723,Stigmochelys pardalis,41711,Charlie
2018,3-Jul,8,0.385298,36.898761,Stigmochelys pardalis,41711,Charlie
2018,3-Jul,12,0.384585,36.899784,Stigmochelys pardalis,41711,Charlie
2018,3-Jul,16,0.383441,36.90105,Stigmochelys pardalis,41711,Charlie
2018,3-Jul,20,0.383441,36.901077,Stigmochelys pardalis,41711,Charlie
2018,3-Jul,23,0.383483,36.901023,Stigmochelys pardalis,41711,Charlie
2018,3-Jul,8,0.293166,36.898521,Stigmochelys pardalis,4170,Io
2018,3-Jul,12,0.282116,36.89693,Stigmochelys pardalis,4170,Io
2018,3-Jul,16,0.27819,36.889026,Stigmochelys pardalis,4170,Io
2018,3-Jul,20,0.278196,36.889045,Stigmochelys pardalis,4170,Io
2018,3-Jul,23,0.278235,36.889083,Stigmochelys pardalis,4170,Io
2018,3-Jul,0,0.426115,36.840442,Stigmochelys pardalis,4173,Ollie
2018,3-Jul,4,0.42609,36.840499,Stigmochelys pardalis,4173,Ollie
2018,3-Jul,8,0.42612,36.840427,Stigmochelys pardalis,4173,Ollie
2018,3-Jul,12,0.426153,36.840435,Stigmochelys pardalis,4173,Ollie
2018,3-Jul,16,0.42607,36.840408,Stigmochelys pardalis,4173,Ollie
2018,3-Jul,20,0.426046,36.840446,Stigmochelys pardalis,4173,Ollie
2018,3-Jul,23,0.426056,36.840396,Stigmochelys pardalis,4173,Ollie
2018,4-Jul,0,0.38347,36.901031,Stigmochelys pardalis,41711,Charlie
2018,4-Jul,4,0.38342,36.901042,Stigmochelys pardalis,41711,Charlie
2018,4-Jul,8,0.383468,36.901001,Stigmochelys pardalis,41711,Charlie
2018,4-Jul,12,0.383358,36.901096,Stigmochelys pardalis,41711,Charlie
2018,4-Jul,16,0.383576,36.901115,Stigmochelys pardalis,41711,Charlie
2018,4-Jul,20,0.383571,36.901107,Stigmochelys pardalis,41711,Charlie
2018,4-Jul,23,0.38359,36.901115,Stigmochelys pardalis,41711,Charlie
2018,4-Jul,0,0.278208,36.889034,Stigmochelys pardalis,4170,Io
2018,4-Jul,4,0.278215,36.889045,Stigmochelys pardalis,4170,Io
2018,4-Jul,8,0.278185,36.88908,Stigmochelys pardalis,4170,Io
2018,4-Jul,12,0.278176,36.88908,Stigmochelys pardalis,4170,Io
2018,4-Jul,16,0.278269,36.889167,Stigmochelys pardalis,4170,Io
2018,4-Jul,20,0.278241,36.889194,Stigmochelys pardalis,4170,Io
2018,4-Jul,23,0.278281,36.889167,Stigmochelys pardalis,4170,Io
2018,4-Jul,0,0.426075,36.840435,Stigmochelys pardalis,4173,Ollie
2018,4-Jul,4,0.426046,36.840473,Stigmochelys pardalis,4173,Ollie
2018,4-Jul,8,0.426088,36.840396,Stigmochelys pardalis,4173,Ollie
2018,4-Jul,12,0.426175,36.839603,Stigmochelys pardalis,4173,Ollie
2018,4-Jul,16,0.426008,36.840168,Stigmochelys pardalis,4173,Ollie
2018,4-Jul,20,0.42597,36.840179,Stigmochelys pardalis,4173,Ollie
2018,4-Jul,23,0.425988,36.840168,Stigmochelys pardalis,4173,Ollie
2018,5-Jul,0,0.383591,36.901126,Stigmochelys pardalis,41711,Charlie
2018,5-Jul,4,0.383575,36.901115,Stigmochelys pardalis,41711,Charlie
2018,5-Jul,8,0.383629,36.901058,Stigmochelys pardalis,41711,Charlie
2018,5-Jul,12,0.383533,36.901138,Stigmochelys pardalis,41711,Charlie
2018,5-Jul,16,0.383643,36.901172,Stigmochelys pardalis,41711,Charlie
2018,5-Jul,20,0.383838,36.901138,Stigmochelys pardalis,41711,Charlie
2018,5-Jul,23,0.383781,36.901165,Stigmochelys pardalis,41711,Charlie
2018,5-Jul,0,0.278246,36.889137,Stigmochelys pardalis,4170,Io
2018,5-Jul,4,0.278233,36.88916,Stigmochelys pardalis,4170,Io
2018,5-Jul,8,0.278265,36.88911,Stigmochelys pardalis,4170,Io
2018,5-Jul,12,0.278216,36.889179,Stigmochelys pardalis,4170,Io
2018,5-Jul,16,0.279563,36.889644,Stigmochelys pardalis,4170,Io
2018,5-Jul,20,0.278166,36.889427,Stigmochelys pardalis,4170,Io
2018,5-Jul,23,0.278185,36.889423,Stigmochelys pardalis,4170,Io
2018,5-Jul,0,0.426015,36.84016,Stigmochelys pardalis,4173,Ollie
2018,5-Jul,4,0.4259,36.840206,Stigmochelys pardalis,4173,Ollie
2018,5-Jul,8,0.42595,36.840175,Stigmochelys pardalis,4173,Ollie
2018,5-Jul,12,0.425976,36.840148,Stigmochelys pardalis,4173,Ollie
2018,5-Jul,16,0.426026,36.84011,Stigmochelys pardalis,4173,Ollie
2018,5-Jul,20,0.426028,36.840122,Stigmochelys pardalis,4173,Ollie
2018,5-Jul,23,0.426041,36.84008,Stigmochelys pardalis,4173,Ollie
2018,6-Jul,0,0.3838,36.901191,Stigmochelys pardalis,41711,Charlie
2018,6-Jul,4,0.383796,36.901088,Stigmochelys pardalis,41711,Charlie
2018,6-Jul,8,0.383856,36.901184,Stigmochelys pardalis,41711,Charlie
2018,6-Jul,12,0.383821,36.90121,Stigmochelys pardalis,41711,Charlie
2018,6-Jul,16,0.38509,36.90224,Stigmochelys pardalis,41711,Charlie
2018,6-Jul,20,0.384981,36.902492,Stigmochelys pardalis,41711,Charlie
2018,6-Jul,23,0.384953,36.902481,Stigmochelys pardalis,41711,Charlie
2018,6-Jul,0,0.278164,36.889404,Stigmochelys pardalis,4170,Io
2018,6-Jul,4,0.278143,36.889389,Stigmochelys pardalis,4170,Io
2018,6-Jul,8,0.278195,36.889366,Stigmochelys pardalis,4170,Io
2018,6-Jul,12,0.278145,36.889442,Stigmochelys pardalis,4170,Io
2018,6-Jul,16,0.275908,36.891143,Stigmochelys pardalis,4170,Io
2018,6-Jul,20,0.276418,36.891525,Stigmochelys pardalis,4170,Io
2018,6-Jul,23,0.276445,36.891506,Stigmochelys pardalis,4170,Io
2018,6-Jul,0,0.426035,36.840103,Stigmochelys pardalis,4173,Ollie
2018,6-Jul,4,0.426041,36.840179,Stigmochelys pardalis,4173,Ollie
2018,6-Jul,8,0.426085,36.840084,Stigmochelys pardalis,4173,Ollie
2018,6-Jul,12,0.42604,36.840141,Stigmochelys pardalis,4173,Ollie
2018,6-Jul,16,0.426,36.840175,Stigmochelys pardalis,4173,Ollie
2018,6-Jul,20,0.426011,36.840168,Stigmochelys pardalis,4173,Ollie
2018,6-Jul,23,0.425996,36.840091,Stigmochelys pardalis,4173,Ollie
2018,7-Jul,0,0.384993,36.902549,Stigmochelys pardalis,41711,Charlie
2018,7-Jul,4,0.384978,36.902507,Stigmochelys pardalis,41711,Charlie
2018,7-Jul,8,0.385008,36.902519,Stigmochelys pardalis,41711,Charlie
2018,7-Jul,12,0.385025,36.902538,Stigmochelys pardalis,41711,Charlie
2018,7-Jul,16,0.384698,36.902359,Stigmochelys pardalis,41711,Charlie
2018,7-Jul,20,0.384691,36.90232,Stigmochelys pardalis,41711,Charlie
2018,7-Jul,23,0.38468,36.902309,Stigmochelys pardalis,41711,Charlie
2018,7-Jul,0,0.27644,36.891532,Stigmochelys pardalis,4170,Io
2018,7-Jul,4,0.276413,36.891525,Stigmochelys pardalis,4170,Io
2018,7-Jul,8,0.276503,36.891487,Stigmochelys pardalis,4170,Io
2018,7-Jul,12,0.277148,36.889884,Stigmochelys pardalis,4170,Io
2018,7-Jul,16,0.276986,36.890228,Stigmochelys pardalis,4170,Io
2018,7-Jul,20,0.277191,36.889873,Stigmochelys pardalis,4170,Io
2018,7-Jul,23,0.277263,36.889816,Stigmochelys pardalis,4170,Io
2018,7-Jul,0,0.42602,36.840118,Stigmochelys pardalis,4173,Ollie
2018,7-Jul,4,0.425986,36.840072,Stigmochelys pardalis,4173,Ollie
2018,7-Jul,8,0.42604,36.840091,Stigmochelys pardalis,4173,Ollie
2018,7-Jul,12,0.426146,36.840198,Stigmochelys pardalis,4173,Ollie
2018,7-Jul,16,0.426094,36.840442,Stigmochelys pardalis,4173,Ollie
2018,7-Jul,20,0.426028,36.840473,Stigmochelys pardalis,4173,Ollie
2018,7-Jul,23,0.426066,36.840435,Stigmochelys pardalis,4173,Ollie
2018,8-Jul,0,0.38469,36.90232,Stigmochelys pardalis,41711,Charlie
2018,8-Jul,4,0.384721,36.902359,Stigmochelys pardalis,41711,Charlie
2018,8-Jul,8,0.384636,36.90229,Stigmochelys pardalis,41711,Charlie
2018,8-Jul,12,0.384709,36.902328,Stigmochelys pardalis,41711,Charlie
2018,8-Jul,16,0.384606,36.902088,Stigmochelys pardalis,41711,Charlie
2018,8-Jul,20,0.38462,36.902072,Stigmochelys pardalis,41711,Charlie
2018,8-Jul,23,0.384636,36.90208,Stigmochelys pardalis,41711,Charlie
2018,8-Jul,0,0.277226,36.889823,Stigmochelys pardalis,4170,Io
2018,8-Jul,4,0.277243,36.889816,Stigmochelys pardalis,4170,Io
2018,8-Jul,8,0.277235,36.889778,Stigmochelys pardalis,4170,Io
2018,8-Jul,12,0.276963,36.890132,Stigmochelys pardalis,4170,Io
2018,8-Jul,16,0.27839,36.889999,Stigmochelys pardalis,4170,Io
2018,8-Jul,20,0.278355,36.88998,Stigmochelys pardalis,4170,Io
2018,8-Jul,23,0.278401,36.890014,Stigmochelys pardalis,4170,Io
2018,8-Jul,0,0.426031,36.840396,Stigmochelys pardalis,4173,Ollie
2018,8-Jul,4,0.426013,36.840518,Stigmochelys pardalis,4173,Ollie
2018,8-Jul,8,0.426058,36.840389,Stigmochelys pardalis,4173,Ollie
2018,8-Jul,12,0.426135,36.840461,Stigmochelys pardalis,4173,Ollie
2018,8-Jul,16,0.426063,36.84058,Stigmochelys pardalis,4173,Ollie
2018,8-Jul,20,0.426066,36.840606,Stigmochelys pardalis,4173,Ollie
2018,8-Jul,23,0.426091,36.84056,Stigmochelys pardalis,4173,Ollie
2018,9-Jul,0,0.384628,36.902099,Stigmochelys pardalis,41711,Charlie
2018,9-Jul,4,0.384575,36.90208,Stigmochelys pardalis,41711,Charlie
2018,9-Jul,8,0.384613,36.902053,Stigmochelys pardalis,41711,Charlie
2018,9-Jul,12,0.384354,36.902263,Stigmochelys pardalis,41711,Charlie
2018,9-Jul,16,0.383995,36.905399,Stigmochelys pardalis,41711,Charlie
2018,9-Jul,20,0.383983,36.905399,Stigmochelys pardalis,41711,Charlie
2018,9-Jul,23,0.383996,36.905387,Stigmochelys pardalis,41711,Charlie
2018,9-Jul,0,0.27839,36.889999,Stigmochelys pardalis,4170,Io
2018,9-Jul,4,0.278341,36.88998,Stigmochelys pardalis,4170,Io
2018,9-Jul,8,0.278365,36.889961,Stigmochelys pardalis,4170,Io
2018,9-Jul,12,0.278373,36.889213,Stigmochelys pardalis,4170,Io
2018,9-Jul,16,0.280131,36.889911,Stigmochelys pardalis,4170,Io
2018,9-Jul,20,0.280051,36.88998,Stigmochelys pardalis,4170,Io
2018,9-Jul,23,0.28012,36.8899,Stigmochelys pardalis,4170,Io
2018,9-Jul,0,0.426071,36.840568,Stigmochelys pardalis,4173,Ollie
2018,9-Jul,4,0.42607,36.840568,Stigmochelys pardalis,4173,Ollie
2018,9-Jul,8,0.426088,36.840557,Stigmochelys pardalis,4173,Ollie
2018,9-Jul,12,0.426155,36.840568,Stigmochelys pardalis,4173,Ollie
2018,9-Jul,16,0.426079,36.840557,Stigmochelys pardalis,4173,Ollie
2018,9-Jul,20,0.426035,36.840606,Stigmochelys pardalis,4173,Ollie
2018,9-Jul,23,0.426091,36.84056,Stigmochelys pardalis,4173,Ollie
2018,10-Jul,0,0.384016,36.905399,Stigmochelys pardalis,41711,Charlie
2018,10-Jul,4,0.384045,36.905502,Stigmochelys pardalis,41711,Charlie
2018,10-Jul,8,0.383973,36.905349,Stigmochelys pardalis,41711,Charlie
2018,10-Jul,12,0.384781,36.905406,Stigmochelys pardalis,41711,Charlie
2018,10-Jul,16,0.385356,36.905754,Stigmochelys pardalis,41711,Charlie
2018,10-Jul,20,0.385266,36.90575,Stigmochelys pardalis,41711,Charlie
2018,10-Jul,23,0.385316,36.905761,Stigmochelys pardalis,41711,Charlie
2018,10-Jul,0,0.280109,36.889919,Stigmochelys pardalis,4170,Io
2018,10-Jul,4,0.280093,36.889961,Stigmochelys pardalis,4170,Io
2018,10-Jul,8,0.280125,36.889904,Stigmochelys pardalis,4170,Io
2018,10-Jul,12,0.280145,36.889827,Stigmochelys pardalis,4170,Io
2018,10-Jul,16,0.280281,36.889732,Stigmochelys pardalis,4170,Io
2018,10-Jul,20,0.280216,36.889728,Stigmochelys pardalis,4170,Io
2018,10-Jul,23,0.280249,36.889728,Stigmochelys pardalis,4170,Io
2018,10-Jul,0,0.426083,36.84056,Stigmochelys pardalis,4173,Ollie
2018,10-Jul,4,0.426061,36.84058,Stigmochelys pardalis,4173,Ollie
2018,10-Jul,8,0.426043,36.84053,Stigmochelys pardalis,4173,Ollie
2018,10-Jul,12,0.426156,36.840492,Stigmochelys pardalis,4173,Ollie
2018,10-Jul,16,0.426108,36.840518,Stigmochelys pardalis,4173,Ollie
2018,10-Jul,20,0.426105,36.840522,Stigmochelys pardalis,4173,Ollie
2018,10-Jul,23,0.426085,36.840503,Stigmochelys pardalis,4173,Ollie
2018,11-Jul,0,0.385311,36.905696,Stigmochelys pardalis,41711,Charlie
2018,11-Jul,4,0.385318,36.905769,Stigmochelys pardalis,41711,Charlie
2018,11-Jul,8,0.385338,36.905723,Stigmochelys pardalis,41711,Charlie
2018,11-Jul,12,0.385246,36.905712,Stigmochelys pardalis,41711,Charlie
2018,11-Jul,16,0.385245,36.905754,Stigmochelys pardalis,41711,Charlie
2018,11-Jul,20,0.385155,36.905883,Stigmochelys pardalis,41711,Charlie
2018,11-Jul,23,0.385245,36.90578,Stigmochelys pardalis,41711,Charlie
2018,11-Jul,0,0.280246,36.88974,Stigmochelys pardalis,4170,Io
2018,11-Jul,4,0.280249,36.889789,Stigmochelys pardalis,4170,Io
2018,11-Jul,8,0.280198,36.889713,Stigmochelys pardalis,4170,Io
2018,11-Jul,12,0.28023,36.889747,Stigmochelys pardalis,4170,Io
2018,11-Jul,16,0.279966,36.889465,Stigmochelys pardalis,4170,Io
2018,11-Jul,20,0.279906,36.889598,Stigmochelys pardalis,4170,Io
2018,11-Jul,23,0.279936,36.889511,Stigmochelys pardalis,4170,Io
2018,11-Jul,0,0.426135,36.840499,Stigmochelys pardalis,4173,Ollie
2018,11-Jul,4,0.426125,36.840492,Stigmochelys pardalis,4173,Ollie
2018,11-Jul,8,0.426071,36.840446,Stigmochelys pardalis,4173,Ollie
2018,11-Jul,12,0.426113,36.840499,Stigmochelys pardalis,4173,Ollie
2018,11-Jul,16,0.426125,36.840484,Stigmochelys pardalis,4173,Ollie
2018,11-Jul,20,0.426093,36.840599,Stigmochelys pardalis,4173,Ollie
2018,11-Jul,23,0.426136,36.840503,Stigmochelys pardalis,4173,Ollie
2018,12-Jul,0,0.385193,36.905773,Stigmochelys pardalis,41711,Charlie
2018,12-Jul,4,0.385208,36.905792,Stigmochelys pardalis,41711,Charlie
2018,12-Jul,8,0.385193,36.905696,Stigmochelys pardalis,41711,Charlie
2018,12-Jul,12,0.384898,36.905658,Stigmochelys pardalis,41711,Charlie
2018,12-Jul,16,0.385076,36.905181,Stigmochelys pardalis,41711,Charlie
2018,12-Jul,20,0.385078,36.905265,Stigmochelys pardalis,41711,Charlie
2018,12-Jul,23,0.38508,36.9052,Stigmochelys pardalis,41711,Charlie
2018,12-Jul,0,0.279925,36.88953,Stigmochelys pardalis,4170,Io
2018,12-Jul,4,0.279935,36.88953,Stigmochelys pardalis,4170,Io
2018,12-Jul,8,0.279891,36.88948,Stigmochelys pardalis,4170,Io
2018,12-Jul,12,0.27989,36.889499,Stigmochelys pardalis,4170,Io
2018,12-Jul,16,0.279418,36.88935,Stigmochelys pardalis,4170,Io
2018,12-Jul,20,0.279945,36.889598,Stigmochelys pardalis,4170,Io
2018,12-Jul,23,0.27993,36.889472,Stigmochelys pardalis,4170,Io
2018,12-Jul,0,0.426175,36.840499,Stigmochelys pardalis,4173,Ollie
2018,12-Jul,4,0.426028,36.840568,Stigmochelys pardalis,4173,Ollie
2018,12-Jul,8,0.426058,36.84048,Stigmochelys pardalis,4173,Ollie
2018,12-Jul,12,0.426068,36.84056,Stigmochelys pardalis,4173,Ollie
2018,12-Jul,16,0.426143,36.840492,Stigmochelys pardalis,4173,Ollie
2018,12-Jul,20,0.42609,36.840541,Stigmochelys pardalis,4173,Ollie
2018,12-Jul,23,0.426118,36.840461,Stigmochelys pardalis,4173,Ollie
2018,13-Jul,0,0.385098,36.9052,Stigmochelys pardalis,41711,Charlie
2018,13-Jul,4,0.385088,36.9052,Stigmochelys pardalis,41711,Charlie
2018,13-Jul,8,0.385085,36.905181,Stigmochelys pardalis,41711,Charlie
2018,13-Jul,12,0.385914,36.90578,Stigmochelys pardalis,41711,Charlie
2018,13-Jul,16,0.389091,36.910789,Stigmochelys pardalis,41711,Charlie
2018,13-Jul,20,0.387701,36.911399,Stigmochelys pardalis,41711,Charlie
2018,13-Jul,23,0.387711,36.911388,Stigmochelys pardalis,41711,Charlie
2018,13-Jul,0,0.279935,36.889453,Stigmochelys pardalis,4170,Io
2018,13-Jul,4,0.27991,36.88948,Stigmochelys pardalis,4170,Io
2018,13-Jul,8,0.27991,36.889492,Stigmochelys pardalis,4170,Io
2018,13-Jul,12,0.276986,36.889873,Stigmochelys pardalis,4170,Io
2018,13-Jul,16,0.275841,36.891159,Stigmochelys pardalis,4170,Io
2018,13-Jul,20,0.275741,36.891101,Stigmochelys pardalis,4170,Io
2018,13-Jul,23,0.275736,36.891067,Stigmochelys pardalis,4170,Io
2018,13-Jul,0,0.426139,36.840499,Stigmochelys pardalis,4173,Ollie
2018,13-Jul,4,0.425988,36.84056,Stigmochelys pardalis,4173,Ollie
2018,13-Jul,8,0.426081,36.840492,Stigmochelys pardalis,4173,Ollie
2018,13-Jul,12,0.426088,36.840541,Stigmochelys pardalis,4173,Ollie
2018,13-Jul,16,0.426035,36.840198,Stigmochelys pardalis,4173,Ollie
2018,13-Jul,20,0.426,36.840244,Stigmochelys pardalis,4173,Ollie
2018,13-Jul,23,0.42602,36.840168,Stigmochelys pardalis,4173,Ollie
2018,14-Jul,0,0.387693,36.911399,Stigmochelys pardalis,41711,Charlie
2018,14-Jul,4,0.387685,36.911376,Stigmochelys pardalis,41711,Charlie
2018,14-Jul,8,0.387743,36.911415,Stigmochelys pardalis,41711,Charlie
2018,14-Jul,12,0.3873,36.912151,Stigmochelys pardalis,41711,Charlie
2018,14-Jul,16,0.386381,36.912826,Stigmochelys pardalis,41711,Charlie
2018,14-Jul,20,0.386411,36.912838,Stigmochelys pardalis,41711,Charlie
2018,14-Jul,23,0.386408,36.912788,Stigmochelys pardalis,41711,Charlie
2018,14-Jul,0,0.275763,36.891082,Stigmochelys pardalis,4170,Io
2018,14-Jul,4,0.275735,36.891075,Stigmochelys pardalis,4170,Io
2018,14-Jul,8,0.275796,36.891124,Stigmochelys pardalis,4170,Io
2018,14-Jul,12,0.275858,36.891162,Stigmochelys pardalis,4170,Io
2018,14-Jul,16,0.27818,36.889415,Stigmochelys pardalis,4170,Io
2018,14-Jul,20,0.278196,36.889427,Stigmochelys pardalis,4170,Io
2018,14-Jul,23,0.278195,36.889408,Stigmochelys pardalis,4170,Io
2018,14-Jul,0,0.426023,36.840179,Stigmochelys pardalis,4173,Ollie
2018,14-Jul,4,0.426021,36.840194,Stigmochelys pardalis,4173,Ollie
2018,14-Jul,8,0.426013,36.84016,Stigmochelys pardalis,4173,Ollie
2018,14-Jul,12,0.426078,36.840103,Stigmochelys pardalis,4173,Ollie
2018,14-Jul,16,0.427036,36.84008,Stigmochelys pardalis,4173,Ollie
2018,14-Jul,20,0.427091,36.840072,Stigmochelys pardalis,4173,Ollie
2018,14-Jul,23,0.427034,36.840065,Stigmochelys pardalis,4173,Ollie
2018,15-Jul,0,0.386365,36.91283,Stigmochelys pardalis,41711,Charlie
2018,15-Jul,4,0.386368,36.912849,Stigmochelys pardalis,41711,Charlie
2018,15-Jul,8,0.38644,36.912857,Stigmochelys pardalis,41711,Charlie
2018,15-Jul,12,0.386366,36.912826,Stigmochelys pardalis,41711,Charlie
2018,15-Jul,16,0.386398,36.912933,Stigmochelys pardalis,41711,Charlie
2018,15-Jul,20,0.38644,36.912845,Stigmochelys pardalis,41711,Charlie
2018,15-Jul,23,0.386421,36.912857,Stigmochelys pardalis,41711,Charlie
2018,15-Jul,0,0.278196,36.889427,Stigmochelys pardalis,4170,Io
2018,15-Jul,4,0.278158,36.889404,Stigmochelys pardalis,4170,Io
2018,15-Jul,8,0.278208,36.889427,Stigmochelys pardalis,4170,Io
2018,15-Jul,12,0.278145,36.889358,Stigmochelys pardalis,4170,Io
2018,15-Jul,16,0.278311,36.889369,Stigmochelys pardalis,4170,Io
2018,15-Jul,20,0.278173,36.889434,Stigmochelys pardalis,4170,Io
2018,15-Jul,23,0.278171,36.889408,Stigmochelys pardalis,4170,Io
2018,15-Jul,0,0.427033,36.840091,Stigmochelys pardalis,4173,Ollie
2018,15-Jul,4,0.42702,36.840061,Stigmochelys pardalis,4173,Ollie
2018,15-Jul,8,0.427083,36.840103,Stigmochelys pardalis,4173,Ollie
2018,15-Jul,12,0.427025,36.840026,Stigmochelys pardalis,4173,Ollie
